기간,대륙별,합계,0~20세,21~30세,31~40세,41~50세,51~60세,61세 이상,승무원
2007,합계,6448240,476233,1005585,1238978,1195299,1006182,592115,933848
2007,아시아주,4746840,333732,785267,941735,838557,724520,415376,707653
2007,미주,716336,83683,102368,115532,145858,128126,87421,53348
2007,구주,559432,25111,69132,105115,104867,67222,24938,163047
2007,대양주,107829,12099,19941,21700,21144,16166,9389,7390
2007,아프리카,23624,969,4113,7332,5580,2605,615,2410
2007,교포,294061,20634,24745,47539,79268,67526,54349,-
2007,기타,118,5,19,25,25,17,27,-
2008,합계,6890841,488770,1137355,1322644,1258559,1067867,689597,926049
2008,아시아주,5092437,338647,893561,1016412,891515,767068,484944,700290
2008,미주,744615,85714,111920,117629,145469,132863,95579,55441
2008,구주,592303,29626,79794,109772,109773,71564,32945,158829
2008,대양주,127569,14837,22593,23269,23432,19617,15422,8399
2008,아프리카,26209,959,4943,7618,5975,2889,735,3090
2008,교포,307551,18980,24523,47920,82363,73830,59935,-
2008,기타,157,7,21,24,32,36,37,-
2009,합계,7817533,552015,1425663,1483944,1386152,1214222,862303,893234
2009,아시아주,6074513,404937,1167028,1200230,1049148,928392,670142,654636
2009,미주,751697,87538,124750,113730,138907,131897,97209,57666
2009,구주,597762,31228,83952,102188,102339,70766,40135,167154
2009,대양주,130446,16419,23903,23241,22789,19369,15666,9059
2009,아프리카,28501,1055,5520,7476,5985,2922,824,4719
2009,교포,234420,10825,20482,37053,66937,60845,38278,-
2009,기타,194,13,28,26,47,31,49,-
2010,합계,8797658,651370,1622769,1670563,1598371,1319766,943314,991505
2010,아시아주,6838514,487306,1345670,1355653,1221999,989544,707882,730460
2010,미주,813860,90717,133924,122485,148406,143527,109401,65400
2010,구주,645753,33823,86850,111123,114864,79052,41504,178537
2010,대양주,146089,18060,23862,24855,24897,23333,20313,10769
2010,아프리카,33756,1218,6309,8389,6869,3612,1020,6339
2010,교포,319494,20236,26125,48026,81300,80673,63134,-
2010,기타,192,10,29,32,36,25,60,-
2011,합계,9794796,746228,1927213,1854705,1771292,1411504,984802,1099052
2011,아시아주,7766292,581930,1639601,1528501,1382294,1065079,744535,824352
2011,미주,827383,87957,134836,124863,150850,149734,110749,68394
2011,구주,681025,35093,92990,117854,121881,84130,41798,187279
2011,대양주,155654,18906,25097,27536,26099,24077,22345,11594
2011,아프리카,36979,1180,7490,8239,7404,4245,1036,7385
2011,교포,327260,21154,27167,47688,82736,84217,64298,-
2011,기타,203,8,32,24,28,22,41,48
2012,합계,11140028,926601,2198565,2136084,2079293,1630262,1162192,1007031
2012,아시아주,9009323,750120,1896167,1791556,1673573,1254386,891959,751562
2012,미주,876149,94210,138270,131525,157542,161529,124515,68558
2012,구주,717315,42042,102902,128710,130699,95395,49309,168258
2012,대양주,166304,19354,24962,28277,27128,26574,28325,11684
2012,아프리카,41236,1290,8924,10036,8106,4672,1242,6966
2012,교포,329558,19578,27321,45960,82221,87677,66801,-
2012,기타,143,7,19,20,24,29,41,3
2013,합계,12175550,1017740,2337179,2306379,2174659,1687735,1130221,1521637
2013,아시아주,9978587,840134,2023493,1949922,1768160,1307933,864611,1224334
2013,미주,915622,94354,142961,137780,158406,164513,125747,91861
2013,구주,768185,46083,112635,139062,136670,100271,49900,183564
2013,대양주,160047,18961,23465,28245,26532,24928,23448,14468
2013,아프리카,43414,1585,9539,10733,8380,4472,1308,7397
2013,교포,309495,16617,25030,40605,76493,85589,65161,-
2013,기타,200,6,56,32,18,29,46,13
2014,합계,14201516,1249214,2866912,2794963,2424626,1969288,1314339,1582174
2014,아시아주,11863784,1051536,2525573,2408204,1998948,1561070,1029440,1289013
2014,미주,974021,103341,154761,152166,166399,177275,135102,84977
2014,구주,848530,56242,127599,157262,150649,114534,57777,184467
2014,대양주,177934,22029,26641,31282,29255,27864,25039,15824
2014,아프리카,44053,1659,9643,10609,8213,4911,1392,7626
2014,교포,292589,14395,22604,35380,71102,83554,65554,-
2014,기타,605,12,91,60,60,80,35,267
2015,합계,13231651,1011937,2889783,2617535,2141149,1881750,1290231,1399266
2015,아시아주,10967739,824246,2540578,2239703,1736874,1480427,1006450,1139461
2015,미주,974153,103303,160927,154089,163522,178941,138820,74551
2015,구주,806438,49994,133403,151873,139863,109956,55257,166092
2015,대양주,168064,21201,24946,30201,28562,26335,24206,12613
2015,아프리카,44525,1934,10405,11133,8171,4989,1521,6372
2015,교포,270193,11233,19437,30470,64098,81014,63941,-
2015,기타,539,26,87,66,59,88,36,177
2016,합계,17241823,1702754,3897678,3395559,2627321,2332528,1777508,1508475
2016,아시아주,14657893,1472458,3494118,2973262,2196153,1903164,1447289,1171449
2016,미주,1116157,129703,182853,174819,177527,194062,162954,94239
2016,구주,942673,61967,160948,170901,149912,118217,63173,217555
2016,대양주,190547,25059,28496,34091,31812,29917,32768,8404
2016,아프리카,57326,2248,10936,12025,8534,5131,1864,16588
2016,교포,276538,11289,20241,30355,63308,81935,69410,-
2016,기타,689,30,86,106,75,102,50,240
2017,합계,13335758,1220725,3246646,2754185,2131196,1784057,1202691,996258
2017,아시아주,10774143,988491,2810559,2310666,1697406,1362327,876286,728408
2017,미주,1117107,126557,193710,185940,179046,189318,158029,84507
2017,구주,936057,67880,180305,182209,152918,119711,64777,168257
2017,대양주,189557,25107,30738,34035,31760,28775,31771,7371
2017,아프리카,49316,2282,11805,12613,8401,4962,1745,7508
2017,교포,268854,10380,19440,28622,61552,78835,70025,-
2017,기타,724,28,89,100,113,129,58,207
